0	4.2745
0.005	3.8003244101894
0.01	3.53844629082663
0.015	3.45274981353713
0.02	3.43053300020904
0.025	3.4256411438699
0.03	3.42469460899059
0.035	3.42453029979158
0.04	3.42450434752371
0.045	3.42450057909651
0.05	3.42450007203309
0.055	3.42450000840825
0.06	3.42450000092482
0.065	3.42450000009619
0.07	3.42450000000949
0.075	3.42450000000089
0.08	3.42450000000008
0.085	3.42450000000001
0.09	3.4245
0.095	3.4245
0.1	3.4245
0.105	3.4245
0.11	3.4245
0.115	3.4245
0.12	3.4245
0.125	3.4245
0.13	3.4245
0.135	3.4245
0.14	3.4245
0.145	3.4245
0.15	3.4245
0.155	3.4245
0.16	3.4245
0.165	3.4245
0.17	3.4245
0.175	3.4245
0.18	3.4245
0.185	3.4245
0.19	3.4245
0.195	3.4245
0.2	3.4245
0.205	3.4245
0.21	3.4245
0.215	3.4245
0.22	3.4245
0.225	3.4245
0.23	3.4245
0.235	3.4245
0.24	3.4245
0.245	3.4245
0.25	3.4245
0.255	3.4245
0.26	3.4245
0.265	3.4245
0.27	3.4245
0.275	3.4245
0.28	3.4245
0.285	3.4245
0.29	3.4245
0.295	3.4245
0.3	3.4245
0.305	3.4245
0.31	3.4245
0.315	3.4245
0.32	3.4245
0.325	3.4245
0.33	3.4245
0.335	3.4245
0.34	3.4245
0.345	3.4245
0.35	3.4245
0.355	3.4245
0.36	3.4245
0.365	3.4245
0.37	3.4245
0.375	3.4245
0.38	3.4245
0.385	3.4245
0.39	3.4245
0.395	3.4245
0.4	3.4245
0.405	3.4245
0.41	3.4245
0.415	3.4245
0.42	3.4245
0.425	3.4245
0.43	3.4245
0.435	3.4245
0.44	3.4245
0.445	3.4245
0.45	3.4245
0.455	3.4245
0.46	3.4245
0.465	3.4245
0.47	3.4245
0.475	3.4245
0.48	3.4245
0.485	3.4245
0.49	3.4245
0.495	3.4245
0.5	3.4245
0.505	3.4245
0.51	3.4245
0.515	3.4245
0.52	3.4245
0.525	3.4245
0.53	3.4245
0.535	3.4245
0.54	3.4245
0.545	3.4245
0.55	3.4245
0.555	3.4245
0.56	3.4245
0.565	3.4245
0.57	3.4245
0.575	3.4245
0.58	3.4245
0.585	3.4245
0.59	3.4245
0.595	3.4245
0.6	3.4245
0.605	3.4245
0.61	3.4245
0.615	3.4245
0.62	3.4245
0.625	3.4245
0.63	3.4245
0.635	3.4245
0.64	3.4245
0.645	3.4245
0.65	3.4245
0.655	3.4245
0.66	3.4245
0.665	3.4245
0.67	3.4245
0.675	3.4245
0.68	3.4245
0.685	3.4245
0.69	3.4245
0.695	3.4245
0.7	3.4245
0.705	3.4245
0.71	3.4245
0.715	3.4245
0.72	3.4245
0.725	3.4245
0.73	3.4245
0.735	3.4245
0.74	3.4245
0.745	3.4245
0.75	3.4245
0.755	3.4245
0.76	3.4245
0.765	3.4245
0.77	3.4245
0.775	3.42449999999999
0.78	3.42449999999973
0.785	3.42449999999586
0.79	3.42449999995105
0.795	3.42449999953717
0.8	3.42449999642538
0.805	3.42449997700764
0.81	3.42449987467928
0.815	3.4244994120618
0.82	3.42449759221413
0.825	3.4244912826537
0.83	3.42447177773145
0.835	3.42441745022364
0.84	3.42427981094163
0.845	3.42395989290468
0.85	3.42327237526612
0.855	3.42189663735546
0.86	3.41931695590149
0.865	3.4147577585295
0.87	3.40712322095625
0.875	3.39495244113405
0.88	3.37640114855835
0.885	3.349258228851
0.89	3.31100075546892
0.895	3.25888571377697
0.9	3.19007134655898
0.905	3.10175705769734
0.91	2.99132870780786
0.915	2.8564960771221
0.92	2.69541099629604
0.925	2.50675762065889
0.93	2.28980990733199
0.935	2.04445494685001
0.94	1.77118393651346
0.945	1.47105497445627
0.95	1.14563338817432
0.955	0.796916017131432
0.96	0.427245869626653
0.965	0.0392230425564257
0.97	-0.364383086246417
0.975	-0.780716440357528
0.98	-1.20690874538647
0.985	-1.64014412547959
0.99	-2.07771287936107
0.995	-2.51705426335709
1	-2.95578868047379
